Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
86.4,8171789334,1026,7964707.0,7343348.5,3974,99870980,7413766.7,cudaEventSynchronize
4.0,381495063,2252,169402.8,180191.5,35048,1348852,67007.2,cudaGraphLaunch_v10000
3.9,367239627,36756,9991.3,9367.0,5431,869204,6573.3,cudaLaunchKernel
1.6,155336926,17862,8696.5,8258.0,5603,105839,2418.5,cuLaunchKernelEx
0.9,83989462,8464,9923.1,10676.5,4421,90691,3561.9,cudaMemcpyAsync
0.7,62321110,1,62321110.0,62321110.0,62321110,62321110,0.0,cudaProfilerStop
0.6,57133417,12568,4545.9,4410.0,2056,223636,3208.9,cudaEventRecordWithFlags_v11010
0.4,36876639,16844,2189.3,1709.0,797,401918,3481.3,cudaEventQuery
0.3,30936557,6440,4803.8,4729.0,2591,28993,2043.1,cudaEventRecord
0.2,22221099,16,1388818.7,800273.0,412475,5266161,1288300.5,cudaMalloc
0.2,17750219,2020,8787.2,8566.0,7796,29628,1688.6,cudaMemsetAsync
0.1,14002756,2320,6035.7,5791.0,4903,23701,1532.5,cuLaunchKernel
0.1,13212781,8492,1555.9,1843.0,674,20877,762.1,cudaStreamWaitEvent
0.1,11890359,23100,514.7,384.0,270,16067,439.8,cudaStreamIsCapturing_v10000
0.1,8579185,12596,681.1,557.0,249,31395,664.8,cudaStreamGetCaptureInfo_v3_v12030
0.1,8102524,4104,1974.3,2140.0,914,26410,1171.8,cudaEventCreateWithFlags
0.1,6551194,4104,1596.3,1190.0,968,469188,7792.6,cudaEventDestroy
0.1,5864481,31052,188.9,174.0,91,14445,265.9,cuKernelGetName
0.0,4593719,3220,1426.6,1477.0,904,14807,598.5,cudaGetFuncBySymbol_v11000
0.0,1347594,44,30627.1,19181.0,8420,133976,29403.5,cudaHostAlloc
0.0,15101,2,7550.5,7550.5,5065,10036,3515.0,cuProfilerStart
0.0,6931,4,1732.8,1697.5,1293,2243,429.9,cuLibraryGetKernel
