Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Style,Range
74.5,2253992871,1994,1130387.6,1113168.0,1054549,2542066,71818.7,PushPop,:execute_context_0(0)_generation_2(2)
3.4,101872483,2052,49645.5,48343.0,45016,433085,10136.6,PushPop,NCCL:ncclAllGather
2.8,83328237,2,41664118.5,41664118.5,39581786,43746451,2944862.9,PushPop,:execute_context_1(2046)_generation_2(2)
1.9,58958817,2,29479408.5,29479408.5,29167726,29791091,440785.6,PushPop,:execute_context_2(2045)_generation_3(3)
1.9,58922715,2,29461357.5,29461357.5,28984400,29938315,674519.8,PushPop,:execute_context_2(2046)_generation_2(2)
1.9,58612895,2,29306447.5,29306447.5,28696375,29916520,862772.8,PushPop,:execute_context_2(2044)_generation_4(4)
1.9,57322125,2,28661062.5,28661062.5,28240814,29081311,594321.1,PushPop,:execute_context_1(1559)_generation_5(5)
1.9,57245747,2,28622873.5,28622873.5,28088005,29157742,756418.3,PushPop,:execute_context_1(2043)_generation_5(5)
1.9,56901228,2,28450614.0,28450614.0,28069549,28831679,538907.3,PushPop,:execute_context_1(2045)_generation_3(3)
1.9,56703628,2,28351814.0,28351814.0,27837178,28866450,727805.2,PushPop,:execute_context_1(2044)_generation_4(4)
1.6,48979777,1168,41934.7,41642.0,35177,149712,5962.9,PushPop,NCCL:ncclAllReduce
1.0,31079483,2,15539741.5,15539741.5,15355294,15724189,260848.2,PushPop,:execute_context_2(512)_generation_0(0)
0.9,27115654,2,13557827.0,13557827.0,13063348,14052306,699298.9,PushPop,:execute_context_1(16)_generation_0(0)
0.8,25128528,2,12564264.0,12564264.0,12557911,12570617,8984.5,PushPop,:execute_context_1(16)_generation_1(1)
0.8,22721233,18,1262290.7,1148038.0,1100751,2515061,360184.1,PushPop,:execute_context_0(0)_generation_6(6)
0.3,10582363,6,1763727.2,1532708.0,1249776,2548301,600506.0,PushPop,:execute_context_0(0)_generation_1(1)
0.2,6075206,4,1518801.5,1346519.5,1127170,2254997,524132.9,PushPop,:execute_context_0(0)_generation_4(4)
0.2,4810548,4,1202637.0,1195565.5,1164350,1255067,40599.3,PushPop,:execute_context_0(0)_generation_5(5)
0.2,4561048,4,1140262.0,1143189.0,1120995,1153675,14111.6,PushPop,:execute_context_0(0)_generation_3(3)
0.0,1287998,8,160999.8,161609.5,137838,184970,17261.5,PushPop,:execute_context_0(0)_generation_0(0)
