Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Style,Range
69.0,2157393568,1998,1079776.6,1062454.5,989572,3141593,86155.3,PushPop,:execute_context_0(0)_generation_2(2)
19.4,606291202,218,2781152.3,200349.0,178972,511040158,34600921.6,PushPop,:execute_context_0(0)_generation_0(0)
3.1,98268198,2056,47795.8,46398.0,44480,124311,4930.2,PushPop,NCCL:ncclAllGather
1.2,39020755,2,19510377.5,19510377.5,19504980,19515775,7633.2,PushPop,:execute_context_2(2)_generation_0(0)
1.2,36806679,2,18403339.5,18403339.5,18368357,18438322,49472.7,PushPop,:execute_context_2(2)_generation_3(3)
1.1,35870217,2,17935108.5,17935108.5,17701583,18168634,330254.9,PushPop,:execute_context_1(1)_generation_2(2)
1.0,32650841,2,16325420.5,16325420.5,16267204,16383637,82330.6,PushPop,:execute_context_1(1)_generation_0(0)
1.0,31566106,2,15783053.0,15783053.0,15746849,15819257,51200.2,PushPop,:execute_context_1(1)_generation_5(5)
1.0,30378530,2,15189265.0,15189265.0,14977521,15401009,299451.2,PushPop,:execute_context_1(1)_generation_1(1)
0.9,27130246,24,1130426.9,1086818.5,1059525,1401258,97690.2,PushPop,:execute_context_0(0)_generation_6(6)
0.6,18454936,14,1318209.7,1148742.5,1069840,2443932,477310.9,PushPop,:execute_context_0(0)_generation_1(1)
0.3,8072178,4,2018044.5,1933417.5,1084662,3120681,1071615.5,PushPop,:execute_context_0(0)_generation_5(5)
0.2,6308384,4,1577096.0,1565311.0,1115267,2062495,532354.6,PushPop,:execute_context_0(0)_generation_3(3)
