Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
62.0,853817382,73440,11626.1,11346.0,10041,570635,3685.0,cuMemcpyAsync
24.4,335163269,5,67032653.8,53390792.0,52866054,96389492,20018339.4,cudaEventSynchronize
7.7,105766838,73440,1440.2,1358.0,1218,57171,437.9,cuStreamSynchronize
3.6,49573322,36947,1341.7,1315.0,1240,114219,746.9,cuMemRetainAllocationHandle
0.8,10857434,1155,9400.4,8256.0,5082,44080,6049.1,cudaLaunchKernel
0.8,10760616,73440,146.5,145.0,102,9880,117.4,cuCtxGetId
0.3,4320698,725,5959.6,4972.0,4302,33842,3736.0,cuLaunchKernel
0.2,2199332,9,244370.2,222731.0,182115,429122,74952.1,cudaMalloc
0.1,1369706,180,7609.5,6802.5,6256,26410,3196.3,cudaMemsetAsync
0.1,734488,60,12241.5,10481.5,5822,40031,6571.4,cuLaunchKernelEx
0.0,475059,40,11876.5,9531.5,4611,43361,8257.6,cudaMemcpyAsync
0.0,302862,50,6057.2,4592.5,2178,29614,4618.3,cudaEventRecordWithFlags_v11010
0.0,274500,12,22875.0,14776.0,7786,105312,26432.2,cudaHostAlloc
0.0,152610,45,3391.3,3086.0,1232,12476,2197.8,cudaEventQuery
0.0,144528,785,184.1,153.0,92,1948,159.4,cuKernelGetName
0.0,74708,104,718.3,433.5,307,3541,522.0,cudaStreamIsCapturing_v10000
0.0,47490,10,4749.0,2318.5,1287,16651,5877.9,cudaEventDestroy
0.0,35325,10,3532.5,2585.0,1186,13249,3608.4,cudaEventCreateWithFlags
0.0,23536,1,23536.0,23536.0,23536,23536,0.0,cuStreamCreate
0.0,18337,5,3667.4,4002.0,2728,4565,817.8,cudaStreamWaitEvent
0.0,11560,15,770.7,628.0,303,1669,438.8,cudaStreamGetCaptureInfo_v3_v12030
0.0,3732,1,3732.0,3732.0,3732,3732,0.0,cuProfilerStart
