Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
81.2,360728490,684,527380.8,426340.0,207170,1861202,392468.8,ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_64x3_tn
7.3,32307316,36,897425.4,928649.0,797991,943593,57153.2,ampere_bf16_s16816gemm_bf16_128x256_ldg8_f2f_stages_64x3_tn
4.4,19413751,180,107854.2,96960.5,79329,178210,29348.1,"void flash::flash_fwd_splitkv_kernel<Flash_fwd_kernel_traits<(int)128, (int)64, (int)128, (int)4, (bool)0, (bool)0, cutlass::bfloat16_t, Flash_kernel_traits<(int)128, (int)64, (int)128, (int)4, cutlass::bfloat16_t>>, (bool)1, (bool)0, (bool)0, (bool)0, (bool)1, (bool)0, (bool)0, (bool)0>(flash::Flash_fwd_params)"
2.2,9659067,180,53661.5,45472.5,44385,87873,16748.2,triton_poi_fused_mul_silu_slice_1
1.3,5972057,175,34126.0,29568.0,25824,58784,10995.4,triton_red_fused_3
1.1,4984455,180,27691.4,23648.0,20096,48288,9125.4,triton_red_fused_fused_add_rms_norm_2
0.8,3655395,5,731079.0,730407.0,728519,736103,2977.3,ampere_bf16_s16816gemm_bf16_64x64_sliced1x2_ldg8_f2f_stages_64x5_tn
0.8,3343716,180,18576.2,16256.0,14592,30017,5164.1,triton_red_fused_fused_add_rms_norm_0
0.6,2624661,180,14581.5,12592.5,10752,25888,4846.2,"void vllm::reshape_and_cache_flash_kernel<__nv_bfloat16, __nv_bfloat16, (vllm::Fp8KVCacheDataType)0>(const T1 *, const T1 *, T2 *, T2 *, const long *, long, long, long, long, long, int, int, int, const float *, const float *, int)"
0.1,532389,5,106477.8,105985.0,105377,108961,1439.4,"void at::native::<unnamed>::cunn_SoftMaxForward<(int)4, float, float, float, at::native::<unnamed>::SoftMaxForwardEpilogue>(T4 *, const T2 *, int)"
0.1,272035,5,54407.0,54657.0,53633,54720,459.2,"void flashinfer::sampling::RadixTopKMaskLogitsKernel_MultiCTA<(unsigned int)1024, (unsigned int)4, (bool)0, float, int>(T4 *, T4 *, T5 *, unsigned int, unsigned int, unsigned int, flashinfer::sampling::RadixRowState *, unsigned int, unsigned int)"
0.0,161569,5,32313.8,29760.0,26112,49025,9559.1,triton_red_fused_1
0.0,122017,5,24403.4,21600.0,21376,35905,6430.4,"void flashinfer::sampling::TopPSamplingFromProbKernel<(unsigned int)1024, (cub::_V_300302_SM_800::BlockScanAlgorithm)2, (cub::_V_300302_SM_800::BlockReduceAlgorithm)2, (unsigned int)4, (bool)1, float, int>(T6 *, T7 *, bool *, T7 *, float *, float, unsigned int, unsigned long *, unsigned long, unsigned long *, unsigned long)"
0.0,109313,20,5465.6,5264.0,4608,6912,681.4,_apply_write_kernel
0.0,92961,5,18592.2,16384.0,14144,30560,6825.2,triton_red_fused__to_copy_embedding_rms_norm_0
0.0,77505,15,5167.0,5280.0,4448,5857,482.5,"void at::native::index_elementwise_kernel<(int)128, (int)4, void at::native::gpu_index_kernel<void at::native::index_kernel_impl<at::native::OpaqueType<(int)4>>(at::TensorIteratorBase &, c10::ArrayRef<long>, c10::ArrayRef<long>)::[lambda(char *, const char *, long) (instance 1)]>(at::TensorIteratorBase &, c10::ArrayRef<long>, c10::ArrayRef<long>, const T1 &, bool)::[lambda(int) (instance 1)]>(long, T3)"
0.0,42433,5,8486.6,8609.0,7552,9728,842.9,_temperature_kernel
0.0,32448,5,6489.6,6464.0,6336,6784,177.3,"void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 7)]::operator ()() const::[lambda(float) (instance 1)], std::array<char *, (unsigned long)2>, (int)4, TrivialOffsetCalculator<(int)1, unsigned int>, TrivialOffsetCalculator<(int)1, unsigned int>, at::native::memory::LoadWithCast<(int)1>, at::native::memory::StoreWithCast<(int)1>>(int, T1, T2, T4, T5, T6, T7)"
0.0,31456,5,6291.2,6400.0,5760,6848,418.2,_post_update_kernel
0.0,28736,4,7184.0,7056.0,7040,7584,267.1,"void at::native::index_elementwise_kernel<(int)128, (int)4, void at::native::gpu_index_kernel<void at::native::index_kernel_impl<at::native::OpaqueType<(int)2>>(at::TensorIteratorBase &, c10::ArrayRef<long>, c10::ArrayRef<long>)::[lambda(char *, const char *, long) (instance 1)]>(at::TensorIteratorBase &, c10::ArrayRef<long>, c10::ArrayRef<long>, const T1 &, bool)::[lambda(int) (instance 1)]>(long, T3)"
0.0,28288,5,5657.6,5888.0,5088,6144,461.2,_prepare_prefill_inputs_kernel
0.0,28000,5,5600.0,5600.0,5504,5728,98.6,"void at::native::index_elementwise_kernel<(int)128, (int)4, void at::native::gpu_index_kernel<void at::native::index_kernel_impl<at::native::OpaqueType<(int)8>>(at::TensorIteratorBase &, c10::ArrayRef<long>, c10::ArrayRef<long>)::[lambda(char *, const char *, long) (instance 1)]>(at::TensorIteratorBase &, c10::ArrayRef<long>, c10::ArrayRef<long>, const T1 &, bool)::[lambda(int) (instance 1)]>(long, T3)"
0.0,25056,5,5011.2,5280.0,4512,5408,457.9,_gather_block_tables_kernel
0.0,24672,5,4934.4,4736.0,4608,5696,458.4,_get_num_sampled_and_rejected_kernel
0.0,20832,5,4166.4,4288.0,3680,4800,452.8,_combine_sampled_and_draft_tokens_kernel
0.0,19776,5,3955.2,3680.0,3648,4448,407.7,_compute_slot_mappings_kernel
0.0,16000,10,1600.0,1664.0,1408,1728,134.9,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::FillFunctor<int>, std::array<char *, (unsigned long)1>>(int, T2, T3)"
0.0,14784,5,2956.8,2912.0,2816,3104,138.7,"void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 4)]::operator ()() const::[lambda(long) (instance 1)], std::array<char *, (unsigned long)2>, (int)4, TrivialOffsetCalculator<(int)1, unsigned int>, TrivialOffsetCalculator<(int)1, unsigned int>, at::native::memory::LoadWithCast<(int)1>, at::native::memory::StoreWithCast<(int)1>>(int, T1, T2, T4, T5, T6, T7)"
0.0,10304,5,2060.8,2176.0,1856,2240,188.8,_prepare_pos_seq_lens_kernel
0.0,8545,5,1709.0,1664.0,1344,1984,255.8,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::FillFunctor<bool>, std::array<char *, (unsigned long)1>>(int, T2, T3)"
0.0,7488,5,1497.6,1408.0,1376,1696,154.1,"void <unnamed>::elementwise_kernel_with_index<int, at::native::arange_cuda_out(const c10::Scalar &, const c10::Scalar &, const c10::Scalar &, at::Tensor &)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 3)]::operator ()() const::[lambda(long) (instance 1)]>(T1, T2, function_traits<T2>::result_type *)"
0.0,3328,1,3328.0,3328.0,3328,3328,0.0,"void at::native::vectorized_gather_kernel<(int)16, long>(char *, char *, T2 *, int, long, long, long, long, bool)"
